produit,code-barres,prix,marque,stock,sku,categorie,sous_categorie,marque_a_confirmer,prix_a_confirmer
CERAVE LAIT HYDRATANT FL236ML,000031558,10525.00,CeraVe,1.00,THIAALA-000175,Soins du corps,Laits & crèmes corps,,
LAINO SAVON MARSEIL 150G,000028160,3858.00,Laino,1.00,THIAALA-000176,Hygiène & savons,Savons solides,,
NEUTROGENA FORM NORV LAIT APAIS ET REPAR 250ML,000023937,9100.00,Neutrogena,1.00,THIAALA-000177,Soins du corps,Laits & crèmes corps,,
COFFRET BIOLANE,000031415,31875.00,Biolane,1.00,THIAALA-000178,Bébé & maternité,,,
SVR SEBIACLEAR ACTIV+RENO GEL CREM 40L,000023741,10462.00,SVR,1.00,THIAALA-000179,Soins du visage,Soins ciblés (imperfections/acné),,
COTON TIGE BB B/56,000023502,1500.00,"(accessoire, sans marque)",9.00,THIAALA-000180,Bébé & maternité,,,
CICAPLAST (S) LEVRES 7.5ML,000026543,6898.00,La Roche-Posay,2.00,THIAALA-000181,Soins du visage,Soins ciblés (imperfections/acné),,
LRP EFFACLAR K+ S RENO 40ML,000028411,14495.00,La Roche-Posay,1.00,THIAALA-000182,Soins du visage,Soins ciblés (imperfections/acné),,
COTON DISQUES A DEMAQ CLEAQ S/100D,000026717,1300.00,"(accessoire, sans marque)",9.00,THIAALA-000183,Accessoires,,,
COTON TIGE AD,000023501,1500.00,"(accessoire, sans marque)",5.00,THIAALA-000184,Accessoires,,,
LAINO STICK LEVRE CIRE D'ABEILLE 4G,000031448,3548.00,Laino,3.00,THIAALA-000185,Soins du visage,Baumes à lèvres,,
WILLIAMS MOUSSE A RASER SENSIBLE 200ML,000030944,4600.00,Williams,3.00,THIAALA-000186,Rasage & dépilation,,,
DM CR RAFFERMMIS ET GROSSIS FEN,000023868,9800.00,DM,1.00,THIAALA-000187,Soins du corps,Raffermissants corps,,
EVOLUDERM CRM MAIN NOURISST BEURRE DE CACAO T/150,000027176,2950.00,Evoluderm,1.00,THIAALA-000188,Soins du corps,Laits & crèmes corps,,
EVOLUDERM GOMMAGE EXF PECHE 150ML,000027189,2950.00,Evoluderm,2.00,THIAALA-000189,Soins du corps,Gommages & exfoliants,,
EVOLUDERM LAIT ACTION TACHE 500ML,000027194,4500.00,Evoluderm,2.00,THIAALA-000190,Soins du corps,Laits & crèmes corps,,
EVOLUDERM LAIT EXTRA FORT 500ML,000027195,4500.00,Evoluderm,3.00,THIAALA-000191,Soins du corps,Laits & crèmes corps,,
